이름,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기
데코라고무나무,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,잎-화려함 / 잎의 질감-두꺼움 / 잎의 광택-있음 / 상록,"점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색",,,,,거의 없음,삽목,
덴파레,잎&꽃보기식물,"관목형, 풀모양, 다육형",,,하층목,건조형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을,겨울","보라색,분홍색,빨강색,노랑색,흰색,혼합색",,,약함,"분주,기타",
도깨비고비,잎보기식물,풀모양,,,"하층목,지피식물",일반형,잎-화려함 / 잎의 질감-거침 / 잎의 광택-있음 / 상록,,"녹색, 연두색",,,,,거의 없음,"파종,기타",
돈나무,"잎&꽃보기식물, 열매보기식물",관목형,,,중층목,일반형,"둥근형, 광택있음",기타 (무늬없음 등),"녹색, 연두색",봄,"노랑색,흰색",,"빨강색,오렌지색",강함,"파종,삽목",여름
동백,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,타원형 / 광택,기타 (무늬없음 등),"녹색, 연두색","봄,겨울","분홍색,빨강색,흰색,혼합색",,,중간,"파종,삽목,접목",늦여름
둥근잎 아랄리아,잎보기식물,관목형,,,"상층목,중층목",일반형,둥근형,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,빨강, 분홍, 자주색,기타",,,,,거의 없음,삽목,
듀란타,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색,금색, 노란색","봄,여름","보라색,기타",,,강함,삽목,
드라세나 '송오브자마이카',잎보기식물,관목형,,,중층목,"일반형,수경형",좁은 칼 모양 잎,줄무늬,"녹색, 연두색",,,,,약함,"삽목,기타",
드라세나 '와네끼',잎보기식물,"직립형, 관목형",,,"상층목,중층목","일반형,수경형",긴 칼 모양 잎,줄무늬,"녹색, 연두색,금색, 노란색,흰색, 크림색",,,,,약함,삽목,여름
드라세나 '송오브인디아',잎보기식물,관목형,,,중층목,"일반형,수경형",좁은 칼 모양,줄무늬,"녹색, 연두색,금색, 노란색",,흰색,,,약함,"삽목,기타",
드라세나 '자바',잎보기식물,관목형,,,"상층목,중층목",일반형,좁고 가늘고 긴 잎,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,삽목,
드라세나 '콤팩타',잎보기식물,"직립형, 관목형",,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,삽목,"봄, 여름"
드라세나 '트리컬러 레인보우',잎보기식물,관목형,,,중층목,"일반형,수경형",가늘고 긴 칼모양 잎,줄무늬,"녹색, 연두색,빨강, 분홍, 자주색,여러색 혼합",,,,,약함,삽목,
드라세나 드라코,잎보기식물,관목형,,,"상층목,중층목",일반형,두꺼운 긴타원형,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"삽목,기타","봄, 여름"
드라세나 마지나타,잎보기식물,관목형,,,"상층목,중층목","일반형,수경형",폭이 좁고 가는잎,줄무늬,"녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색",,,,노랑색,약함,"삽목,기타",
드라세나 맛상게아나,잎보기식물,"직립형, 관목형",,,"상층목,중층목","일반형,수경형",칼모양 잎,줄무늬,"녹색, 연두색,기타",,,,,약함,"삽목,기타",
드라세나 산데리아나,잎보기식물,"직립형, 관목형",,,"중층목,하층목","일반형,수경형",칼처럼 생긴잎 / 광택,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,삽목,여름
드라세나 산데리아나 '세레스',잎보기식물,"직립형, 관목형",,,중층목,"일반형,수경형",폭이 좁고 가는 잎,줄무늬,"녹색, 연두색",,,,,약함,삽목,
드라세나 수르쿨로사,잎보기식물,관목형,,,중층목,일반형,타원형,"점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",,흰색,,,약함,삽목,
디지고데카,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,깊이 파인 손바닥모양 (가장자리 톱니),"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색",,,,,약함,삽목,
디펜바키아 '마리안느',잎보기식물,풀모양,,,"중층목,하층목",일반형,엽첨이 날렵한 타원형,점무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,"삽목,분주,기타",
디펜바키아 '트로픽스노우',잎보기식물,풀모양,,,"중층목,하층목",일반형,엽첨이 날렵하고 긴타원형,점무늬,"녹색, 연두색,금색, 노란색",,,,,거의 없음,"삽목,분주,기타",
떡갈잎 고무나무,잎보기식물,"직립형, 관목형",,,상층목,일반형,바이올린 이나 고대현악기 모양 / 광택,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,기타",봄
러브체인,잎보기식물,"덩굴성, 다육형",,,지피식물,건조형,심장모양,"점무늬,기타 (무늬없음 등)","녹색, 연두색,은색, 회색",,,,,거의 없음,"삽목,분주","봄, 여름"
렉스베고니아,잎&꽃보기식물,풀모양,,,하층목,일반형,심장 또는 쐐기 모양 / 가장자리 톱니 / 벨벳,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색","봄,여름","분홍색,흰색",,,거의 없음,삽목,"봄, 여름"
루모라고사리,잎보기식물,"덩굴성, 풀모양",,,"하층목,지피식물",일반형,넓은 삼각형 비늘잎,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"분주,기타",봄 (포자번식)
루스커스,잎보기식물,관목형,,,중층목,일반형,엽첨과 엽각이 뾰족한 작은 잎,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,삽목,분주",3월
마란타 류코뉴라,잎보기식물,풀모양,,,하층목,일반형,넓은 타원형,"줄무늬,점무늬","녹색, 연두색,빨강, 분홍, 자주색,기타",,,,,거의 없음,"분주,기타",여름
마삭줄,잎&꽃보기식물,덩굴성,,,"중층목,하층목,지피식물",일반형,"타원형, 달걀형 / 광택","잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색,빨강, 분홍, 자주색",여름,"노랑색,흰색",,,강함,삽목,"가을, 겨울"
만년청,"잎보기식물, 열매보기식물",풀모양,,,하층목,일반형,바소꼴 / 광택,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색,기타","봄,여름","노랑색,흰색",,빨강색,약함,"파종,분주",9~10월 가을
만데빌라,잎&꽃보기식물,덩굴성,,,"중층목,하층목",일반형,끝이 뾰족한 난형,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을","분홍색,빨강색,노랑색,흰색",,,거의 없음,삽목,봄
멕시코소철,잎보기식물,풀모양,,,중층목,"일반형,건조형","손바닥, 고사리잎 모양 / 광택",기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,파종,
멜라니 고무나무,잎보기식물,관목형,,,중층목,일반형,엽첨부분이 좁아지는 타원형 / 크고 넓은 잎 / 두껍고 광택,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색",,,,,거의 없음,"삽목,기타","봄, 여름"
목베고니아,잎&꽃보기식물,관목형,,,"중층목,하층목",일반형,중간크기의 잎 / 토란잎 모양과 흡사 / 비율은 불규칙한 형태,점무늬,"녹색, 연두색,흰색, 크림색","봄,여름","분홍색,빨강색",,,약함,삽목,
몬스테라,잎보기식물,"덩굴성, 풀모양",,,중층목,일반형,심장형 둥근모양 / 깃털처럼 갈라지고 군데군데 구멍 / 광택,기타 (무늬없음 등),"녹색, 연두색",,흰색,,,약함,"파종,삽목",여름
무늬관음죽,잎보기식물,관목형,,,중층목,일반형,손바닥모양 겹잎 / 뾰족한톱니 / 광택,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,분주,5~6월(분주)
무늬마삭줄,잎보기식물,덩굴성,,,"하층목,지피식물","일반형,수경형",작은잎 / 타원형 / 광택,"점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,흰색, 크림색,빨강, 분홍, 자주색",,"노랑색,흰색",,,강함,삽목,
무늬벤자민고무나무,잎보기식물,직립형,,,"상층목,중층목",일반형,"달걀모양, 타원형 / 광택","점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색",,,,,거의 없음,"삽목,접목","봄, 여름"
무늬산호수,"잎보기식물, 열매보기식물","관목형, 덩굴성",,,하층목,일반형,엽첨과 엽각이 뾰족한 타원형 / 광택,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색","봄,여름","분홍색,흰색",,빨강색,,"삽목,분주",여름
무늬석창포,잎보기식물,"풀모양, 로제트형",,,하층목,"일반형,수경형",가늘고 긴 잎,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,분주,
무늬쉐플레라'홍콩',잎보기식물,"직립형, 관목형",,,중층목,일반형,손바닥모양 / 넓은 타원형,"점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,기타",,,,,거의 없음,삽목,"봄, 여름"
무늬알피니아,잎&꽃보기식물,풀모양,,,중층목,일반형,,줄무늬,"녹색, 연두색,흰색, 크림색","봄,여름","오렌지색,흰색,혼합색",,,약함,"분주,기타",
무늬유카,잎보기식물,직립형,,,"상층목,중층목","일반형,건조형",길고 뾰족한 잎 / 두꺼움,줄무늬,"녹색, 연두색,금색, 노란색",,흰색,,,거의 없음,"삽목,분주",
무늬접란,잎보기식물,"풀모양, 로제트형",,,"하층목,지피식물","일반형,수경형",가늘고 긴 잎,줄무늬,"녹색, 연두색,금색, 노란색",,흰색,,,거의 없음,분주,
무늬털머위,잎&꽃보기식물,풀모양,,,"하층목,지피식물",일반형,머위 잎 모양 / 두껍고 신장 모양 / 광택,"점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,흰색, 크림색","여름,가을",노랑색,,,거의 없음,"파종,분주",
무늬팻츠헤데라,잎보기식물,"관목형, 덩굴성",,,"중층목,하층목",일반형,팔손이,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,
무늬푸밀라고무나무,잎보기식물,덩굴성,,,"하층목,지피식물",일반형,,잎 가장자리 무늬,"녹색, 연두색,흰색, 크림색",,,,,,삽목,
뮤렌베키아,잎보기식물,덩굴성,,,"하층목,지피식물",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,
바위취,잎&꽃보기식물,"풀모양, 로제트형",,,지피식물,일반형,,줄무늬,"녹색, 연두색,은색, 회색,빨강, 분홍, 자주색",여름,"분홍색,흰색",,,,분주,
박쥐란,,,,,,,,,,,,,,,,
백량금,"잎&꽃보기식물, 열매보기식물",관목형,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",흰색,,"빨강색,노랑색,흰색",거의 없음,"파종,삽목",
백정화,잎&꽃보기식물,관목형,,,"상층목,하층목",일반형,,잎 가장자리 무늬,"녹색, 연두색,흰색, 크림색","봄,여름","분홍색,흰색",,,중간,삽목,
백화등,잎&꽃보기식물,덩굴성,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",봄,"분홍색,흰색",,,강함,삽목,
벤자민고무나무,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,
벤자민고무나무 '킹',잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,점무늬,"녹색, 연두색",,,,,거의 없음,삽목,
벵갈고무나무,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,
병솔나무,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색,은색, 회색","봄,여름","분홍색,빨강색,노랑색,흰색",,,거의 없음,"파종,삽목",
보스톤고사리,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,,"분주,기타",
봉의꼬리,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"분주,기타",
부겐빌레아,잎&꽃보기식물,"관목형, 덩굴성",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을","분홍색,빨강색,노랑색,흰색",,,약함,삽목,
브룬펠시아,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","보라색,분홍색,흰색",,,강함,"삽목,분주",
브리세아,잎&꽃보기식물,로제트형,,,하층목,일반형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색","봄,여름","보라색,분홍색,흰색",,,거의 없음,분주,
비젯티접란,잎보기식물,"풀모양, 로제트형",,,"하층목,지피식물","일반형,수경형",,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,분주,
비타툼접란,잎보기식물,"풀모양, 로제트형",,,"하층목,지피식물","일반형,수경형",,줄무늬,"녹색, 연두색,흰색, 크림색",,흰색,,,약함,분주,
산세베리아,잎보기식물,다육형,,,"중층목,하층목",건조형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색",,,,,약함,"삽목,분주",
산세베리아 '골든 하니',잎보기식물,다육형,,,하층목,건조형,,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,분주,
산호수,"잎&꽃보기식물, 열매보기식물","관목형, 덩굴성",,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",흰색,,빨강색,약함,"파종,삽목,분주",
삼색데코라고무나무,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색,여러색 혼합",,,,,거의 없음,삽목,
상록넉줄고사리 '후마타',잎보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,분주",
새우란,꽃보기식물,로제트형,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","보라색,분홍색,노랑색,흰색,혼합색",,,중간,분주,
석창포,잎보기식물,"풀모양, 로제트형",,,"하층목,지피식물","일반형,수경형",,기타 (무늬없음 등),"녹색, 연두색",,,,,중간,분주,
세네시오 라디칸스,잎보기식물,"덩굴성, 다육형",,,"하층목,지피식물","일반형,건조형",,기타 (무늬없음 등),"녹색, 연두색",,흰색,,,약함,"삽목,분주",
세이프릿지 야자,잎보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,검정색,약함,"파종,분주",
셀라기넬라,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,,"삽목,분주",
소철,잎보기식물,직립형,,,"상층목,중층목",건조형,,기타 (무늬없음 등),"녹색, 연두색",,"노랑색,기타",,,거의 없음,"파종,분주,기타",
소피아 고무나무,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,취목",
솔레이롤리아,잎보기식물,풀모양,,,지피식물,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,,"삽목,분주",
수박페페로미아,잎보기식물,풀모양,,,지피식물,일반형,,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,
수박필레아,잎보기식물,"관목형, 풀모양",,,하층목,일반형,,점무늬,"녹색, 연두색,은색, 회색",,,,,거의 없음,"삽목,분주",
수염 틸란드시아,잎보기식물,덩굴성,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색,은색, 회색,기타",,,,,거의 없음,"삽목,기타",
숙근이베리스,잎&꽃보기식물,관목형,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",흰색,,,약함,삽목,
쉐플레라 '홍콩',잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,삽목",
스킨답서스,잎보기식물,덩굴성,,,"하층목,지피식물","일반형,수경형",,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,
스파티필룸,잎&꽃보기식물,풀모양,,,"중층목,하층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",흰색,,,거의 없음,"삽목,분주",
스파티필룸 (광엽),잎&꽃보기식물,풀모양,,,"중층목,하층목",일반형,,기타 (무늬없음 등),기타,"봄,여름",흰색,,,거의 없음,"파종,분주",
시서스,잎보기식물,덩굴성,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,
시클라멘,잎&꽃보기식물,풀모양,,,하층목,일반형,,점무늬,"녹색, 연두색,은색, 회색","봄,겨울","보라색,분홍색,빨강색,흰색",,,중간,파종,
심비디움,잎&꽃보기식물,풀모양,,,중층목,건조형,,"줄무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",겨울,"분홍색,빨강색,오렌지색,노랑색,흰색,기타",,,중간,"분주,기타",
싱고니움,잎보기식물,"덩굴성, 풀모양",,,"하층목,지피식물",일반형,,"줄무늬,점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색",,,,,거의 없음,"삽목,기타",
아글라오네마,잎보기식물,풀모양,,,"중층목,하층목","일반형,수경형",,"줄무늬,점무늬,기타 (무늬없음 등)","녹색, 연두색,은색, 회색",,,,,거의 없음,"삽목,분주,기타",
아데니움,"잎&꽃보기식물, 선인장다육식물","관목형, 다육형",,,"중층목,하층목",건조형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,빨강색,흰색,혼합색",,,거의 없음,"파종,삽목",
아디안텀,잎보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,분주,
아라우카리아,잎보기식물,직립형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,파종,
아레카야자,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,파종,
아마릴리스,꽃보기식물,"풀모양, 로제트형",,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,빨강색,흰색,혼합색",,,거의 없음,"파종,분주",
아스파라거스 풀루모수스,잎보기식물,"덩굴성, 풀모양",,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,,파종,
아스플레니움,잎보기식물,로제트형,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,기타",
아왜나무,"잎&꽃보기식물, 열매보기식물",관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",봄,흰색,,빨강색,중간,"파종,삽목",
아이비,잎보기식물,덩굴성,,,"하층목,지피식물",일반형,,"점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색",,흰색,,,거의 없음,삽목,
아펠란드라,잎&꽃보기식물,직립형,,,중층목,일반형,,줄무늬,"녹색, 연두색","봄,겨울",노랑색,,,거의 없음,삽목,
아프리칸 바이올렛,잎&꽃보기식물,"풀모양, 로제트형",,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,기타","봄,여름,겨울","파랑색,보라색,분홍색,빨강색,흰색,혼합색",,,거의 없음,삽목,
안수리움,잎&꽃보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을,겨울","분홍색,빨강색,흰색,혼합색",,,거의 없음,"분주,기타",
알로카시아 아마조니카,잎보기식물,풀모양,,,하층목,일반형,,줄무늬,"빨강, 분홍, 자주색,기타",,,,,거의 없음,"파종,분주,기타",
알로카시아 쿠쿨라타,잎보기식물,직립형,,,중층목,"일반형,수경형",,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,분주",
얼룩자주달개비,잎&꽃보기식물,덩굴성,,,지피식물,일반형,,줄무늬,"녹색, 연두색,은색, 회색,빨강, 분홍, 자주색","봄,여름","분홍색,흰색",,,거의 없음,삽목,
에메랄드리플 페페로미아,잎보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색",,,,,,삽목,
에크메아 파시아타,잎&꽃보기식물,로제트형,,,하층목,일반형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,은색, 회색,빨강, 분홍, 자주색","봄,여름",분홍색,,,거의 없음,분주,
엘라티올 베고니아,잎&꽃보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을","분홍색,빨강색,오렌지색,노랑색,흰색",,,거의 없음,"파종,삽목,기타",
여우꼬리풀,꽃보기식물,관목형,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,빨강색",,,거의 없음,삽목,
엽란,잎보기식물,풀모양,,,하층목,일반형,,"줄무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",,,,,거의 없음,분주,
옥살리스(사랑초),잎&꽃보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색","봄,여름","보라색,분홍색,흰색",,,거의 없음,"파종,분주",
