이름,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기
온시디움,꽃보기식물,"풀모양, 다육형",,,중층목,건조형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","보라색,분홍색,빨강색,노랑색,흰색,혼합색,기타",,,중간,"삽목,분주,기타",
왜란,잎보기식물,풀모양,,,지피식물,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,분주,
왜성종려죽,잎보기식물,관목형,,,"상층목,중층목",일반형,잎의 질감-중간 / 잎의 광택-있음 / 상록,기타 (무늬없음 등),"녹색, 연두색",,,,흰색,거의 없음,"파종,분주",
움벨라타 고무나무,잎보기식물,직립형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,,삽목,
유카,잎보기식물,직립형,,,"상층목,중층목","일반형,건조형",,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,
은사철나무,잎보기식물,관목형,,,"중층목,하층목",일반형,,잎 가장자리 무늬,"녹색, 연두색",,,,,약함,삽목,
익소라,잎&꽃보기식물,관목형,,,"중층목,하층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,빨강색,오렌지색,흰색",,,약함,삽목,
인삼벤자민,잎보기식물,관목형,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,접목",
자금우,"잎&꽃보기식물, 열매보기식물","관목형, 덩굴성",,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",봄,흰색,,빨강색,거의 없음,"파종,삽목,분주",
자란,잎&꽃보기식물,풀모양,,,하층목,일반형,,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색",봄,"분홍색,흰색,혼합색",,,약함,"파종,분주",
자주색만년초,잎보기식물,풀모양,,,하층목,일반형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,빨강, 분홍, 자주색",,,,,거의 없음,"분주,기타",
접란,잎보기식물,"풀모양, 로제트형",,,하층목,일반형,,줄무늬,"녹색, 연두색",,,,,거의 없음,분주,
제라니움,잎&꽃보기식물,"관목형, 풀모양",,,하층목,일반형,,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,여러색 혼합","봄,여름,가을","분홍색,빨강색,오렌지색,흰색",,,강함,"파종,삽목",
좀마삭줄,잎보기식물,덩굴성,,,"하층목,지피식물",일반형,,점무늬,"녹색, 연두색,금색, 노란색",,,,,거의 없음,"삽목,분주",
종려방동사니,잎보기식물,풀모양,,,"중층목,하층목",수경형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,분주",
종려죽,잎보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,분주",
죽백나무,잎보기식물,직립형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"파종,삽목",
줄리아 페페로미아,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,줄무늬,"녹색, 연두색",,,,,거의 없음,삽목,
참쇠고비(섬쇠고비),잎보기식물,풀모양,,,하층목,일반형,,,"녹색, 연두색",,,,,거의 없음,"파종,기타",
치자나무,"잎&꽃보기식물, 열매보기식물",관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","노랑색,흰색",,"오렌지색,노랑색",강함,삽목,
칼라데아 마코야나,잎보기식물,풀모양,,,하층목,일반형,,줄무늬,"녹색, 연두색,빨강, 분홍, 자주색",,,,,거의 없음,"분주,기타",
칼라데아 인시그니스,잎보기식물,풀모양,,,하층목,일반형,,줄무늬,"녹색, 연두색,빨강, 분홍, 자주색",,,,,거의 없음,"분주,기타",
칼라데아 크로카타,잎&꽃보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색","봄,여름","오렌지색,노랑색",,,거의 없음,"분주,기타",
칼라디움,잎보기식물,풀모양,,,"중층목,하층목",일반형,,"줄무늬,점무늬,잎 가장자리 무늬","녹색, 연두색,빨강, 분홍, 자주색,여러색 혼합",,,,,거의 없음,"파종,기타",
칼랑코에,꽃보기식물,"풀모양, 다육형",,,하층목,"일반형,건조형",,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색","봄,겨울","보라색,분홍색,오렌지색,노랑색,흰색",,,거의 없음,삽목,
커피나무,"잎보기식물, 열매보기식물",직립형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",봄,흰색,,빨강색,약함,"파종,삽목",
켄챠야자,잎보기식물,직립형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),,,,,,거의 없음,파종,
코르딜리네 레드에지,잎보기식물,직립형,,,"상층목,중층목",일반형,,잎 가장자리 무늬,"녹색, 연두색",,,,,중간,삽목,
크로톤,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,여러색 혼합",,,,,약함,삽목,
크로톤,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색,여러색 혼합",,,,,약함,삽목,
크립탄서스,잎보기식물,로제트형,,,,,,줄무늬,"녹색, 연두색,여러색 혼합",,,,,,분주,
클레마티스,꽃보기식물,덩굴성,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","보라색,분홍색,빨강색,흰색",,,약함,삽목,
털달개비,잎&꽃보기식물,다육형,,,하층목,건조형,,기타 (무늬없음 등),"녹색, 연두색,은색, 회색","봄,여름","보라색,분홍색",,,거의 없음,삽목,
털머위,잎&꽃보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",노랑색,,,거의 없음,"파종,분주",
테이블야자,잎보기식물,직립형,,,상층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"파종,분주,기타",
톨미아,잎보기식물,풀모양,,,"중층목,하층목",일반형,,"점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",,,,,거의 없음,분주,
틸란드시아,잎&꽃보기식물,로제트형,,,하층목,"일반형,건조형",,기타 (무늬없음 등),"녹색, 연두색","봄,겨울","보라색,분홍색",,,거의 없음,"분주,기타",
파키라,잎보기식물,직립형,,,상층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,파종,
파피오페딜럼,잎&꽃보기식물,풀모양,,,하층목,"일반형,건조형",,"점무늬,기타 (무늬없음 등)","녹색, 연두색","봄,여름","보라색,분홍색,빨강색,노랑색,흰색,혼합색",,,약함,"분주,기타",
팔레놉시스(호접란),잎&꽃보기식물,"로제트형, 다육형",,,하층목,"일반형,건조형",,,"녹색, 연두색","봄,여름,겨울","분홍색,오렌지색,노랑색,흰색,혼합색",,,약함,기타,
팔손이나무,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"파종,삽목",
팬더 고무나무,잎보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,접목",
팻츠헤데라,잎보기식물,직립형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,삽목,
페페로미아 오브투시폴리아,잎보기식물,"풀모양, 다육형",,,"하층목,지피식물",일반형,,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,은색, 회색",,,,,거의 없음,삽목,
페페로미아 클루시폴리아,잎보기식물,"풀모양, 다육형",,,하층목,일반형,,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색",,,,,약함,삽목,
페페로미아 푸테올라타,잎보기식물,"풀모양, 다육형",,,하층목,일반형,,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,삽목,
포인세티아,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,겨울","분홍색,빨강색,노랑색,흰색,혼합색",,,거의 없음,삽목,
폴리시아스,잎보기식물,관목형,,,"상층목,중층목",일반형,,잎 가장자리 무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,
푸밀라고무나무,잎보기식물,덩굴성,,,지피식물,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,
프테리스,잎보기식물,풀모양,,,하층목,일반형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",,,,,,"파종,분주,기타",
피라칸사,"잎&꽃보기식물, 열매보기식물",관목형,,,"상층목,중층목",일반형,,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",봄,흰색,,"빨강색,오렌지색,노랑색",강함,삽목,
피토니아 핑크스타,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,"줄무늬,잎 가장자리 무늬",여러색 혼합,,,,,거의 없음,"삽목,분주",
피토니아 화이트스타,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,"줄무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색",,,,,,"삽목,분주",
픽투라툼 접란,잎보기식물,풀모양,,,하층목,"일반형,수경형",,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,분주,
"필레아 글라우카(타라, 블루체인)",잎보기식물,"풀모양, 다육형",,,지피식물,일반형,,기타 (무늬없음 등),"녹색, 연두색,은색, 회색",,,,,거의 없음,"삽목,분주",
필로덴드론 '선라이트',잎보기식물,풀모양,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색",,,,,거의 없음,기타,
필로덴드론 '제나두',잎보기식물,풀모양,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,기타,
필로덴드론 고엘디,잎보기식물,풀모양,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,기타",
필로덴드론 레몬라임,잎보기식물,덩굴성,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,금색, 노란색",,,,,거의 없음,삽목,
필로덴드론 셀로움,잎보기식물,풀모양,,,상층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"파종,기타",
필로덴드론 옥시카르디움,잎보기식물,덩굴성,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,기타",
필로덴드론 콩고,잎보기식물,풀모양,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"파종,기타",
해마리아,잎&꽃보기식물,풀모양,,,"하층목,지피식물",일반형,,줄무늬,기타,"봄,여름","분홍색,흰색",,,약함,"삽목,기타",
행운목,잎보기식물,직립형,,,상층목,일반형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색",,,,,강함,삽목,
헤미오니티스(하트펀),잎보기식물,로제트형,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,기타,
헤테로파낙스 프라그란스 (해피트리),잎보기식물,직립형,,,상층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,삽목",
협죽도,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,"줄무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",여름,"분홍색,흰색",,,중간,삽목,
형광스킨답서스,잎보기식물,덩굴성,,,"하층목,지피식물",일반형,,기타 (무늬없음 등),"녹색, 연두색,금색, 노란색",,,,,거의 없음,"삽목,기타",
호야,잎&꽃보기식물,"덩굴성, 다육형",,,"하층목,지피식물","일반형,건조형",,"줄무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색","봄,여름","분홍색,흰색",,,약함,삽목,
호야 엑소티카,잎&꽃보기식물,"덩굴성, 다육형",,,하층목,"일반형,건조형",,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,흰색",,,거의 없음,삽목,
호주매,꽃보기식물,관목형,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,빨강색,흰색",,,약함,삽목,
홀리아페페로미아,잎보기식물,풀모양,,,하층목,일반형,,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,
황금마삭줄,잎보기식물,덩굴성,,,"하층목,지피식물",일반형,,잎 가장자리 무늬,"녹색, 연두색,금색, 노란색",,,,,거의 없음,삽목,
황금죽,잎보기식물,관목형,,,상층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,금색, 노란색",,,,,약함,삽목,
후피향나무,잎보기식물,관목형,,,상층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,중간,"파종,삽목",
흰꽃나도사프란,잎&꽃보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","여름,가을",흰색,,,약함,"파종,분주",
흰줄무늬달개비(트라데스칸티아),잎보기식물,덩굴성,,,하층목,일반형,,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,
히포에스테스,잎보기식물,풀모양,,,하층목,일반형,,점무늬,"녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색,여러색 혼합",여름,"보라색,분홍색,흰색",,,약함,"파종,삽목",
